nom_symptome,categorie
Hypertension intermittente,Cardiovasculaire
Hypertension récurrente,Cardiovasculaire
Hypertension nocturne,Cardiovasculaire
Hypertension diurne,Cardiovasculaire
Hypertension soudaine,Cardiovasculaire
Hypertension progressive,Cardiovasculaire
Hypotension,Cardiovasculaire
Hypotension aiguë,Cardiovasculaire
Hypotension chronique,Cardiovasculaire
Hypotension sévère,Cardiovasculaire
Hypotension modérée,Cardiovasculaire
Hypotension légère,Cardiovasculaire
Hypotension persistante,Cardiovasculaire
Hypotension intermittente,Cardiovasculaire
Hypotension récurrente,Cardiovasculaire
Hypotension nocturne,Cardiovasculaire
Hypotension diurne,Cardiovasculaire
Hypotension soudaine,Cardiovasculaire
Hypotension progressive,Cardiovasculaire
Œdème des membres,Cardiovasculaire
Œdème des membres aiguë,Cardiovasculaire
Œdème des membres chronique,Cardiovasculaire
Œdème des membres sévère,Cardiovasculaire
Œdème des membres modérée,Cardiovasculaire
Œdème des membres légère,Cardiovasculaire
Œdème des membres persistante,Cardiovasculaire
Œdème des membres intermittente,Cardiovasculaire
Œdème des membres récurrente,Cardiovasculaire
Œdème des membres nocturne,Cardiovasculaire
Œdème des membres diurne,Cardiovasculaire
Œdème des membres soudaine,Cardiovasculaire
Œdème des membres progressive,Cardiovasculaire
Fatigue cardiaque,Cardiovasculaire
Fatigue cardiaque aiguë,Cardiovasculaire
Fatigue cardiaque chronique,Cardiovasculaire
Fatigue cardiaque sévère,Cardiovasculaire
Fatigue cardiaque modérée,Cardiovasculaire
Fatigue cardiaque légère,Cardiovasculaire
Fatigue cardiaque persistante,Cardiovasculaire
Fatigue cardiaque intermittente,Cardiovasculaire
Fatigue cardiaque récurrente,Cardiovasculaire
Fatigue cardiaque nocturne,Cardiovasculaire
Fatigue cardiaque diurne,Cardiovasculaire
Fatigue cardiaque soudaine,Cardiovasculaire
Fatigue cardiaque progressive,Cardiovasculaire
Syncope cardiaque,Cardiovasculaire
Syncope cardiaque aiguë,Cardiovasculaire
Syncope cardiaque chronique,Cardiovasculaire
Syncope cardiaque sévère,Cardiovasculaire
Syncope cardiaque modérée,Cardiovasculaire
Syncope cardiaque légère,Cardiovasculaire
Syncope cardiaque persistante,Cardiovasculaire
Syncope cardiaque intermittente,Cardiovasculaire
Syncope cardiaque récurrente,Cardiovasculaire
Syncope cardiaque nocturne,Cardiovasculaire
Syncope cardiaque diurne,Cardiovasculaire
Syncope cardiaque soudaine,Cardiovasculaire
Syncope cardiaque progressive,Cardiovasculaire
Toux,Respiratoire
Toux aiguë,Respiratoire
Toux chronique,Respiratoire
Toux sévère,Respiratoire
Toux modérée,Respiratoire
Toux légère,Respiratoire
Toux persistante,Respiratoire
Toux intermittente,Respiratoire
Toux récurrente,Respiratoire
Toux nocturne,Respiratoire
Toux diurne,Respiratoire
Toux soudaine,Respiratoire
Toux progressive,Respiratoire
Dyspnée,Respiratoire
Dyspnée aiguë,Respiratoire
Dyspnée chronique,Respiratoire
Dyspnée sévère,Respiratoire
Dyspnée modérée,Respiratoire
Dyspnée légère,Respiratoire
Dyspnée persistante,Respiratoire
Dyspnée intermittente,Respiratoire
Dyspnée récurrente,Respiratoire
Dyspnée nocturne,Respiratoire
Dyspnée diurne,Respiratoire
Dyspnée soudaine,Respiratoire
Dyspnée progressive,Respiratoire
Apnée,Respiratoire
Apnée aiguë,Respiratoire
Apnée chronique,Respiratoire
Apnée sévère,Respiratoire
Apnée modérée,Respiratoire
Apnée légère,Respiratoire
Apnée persistante,Respiratoire
Apnée intermittente,Respiratoire
Apnée récurrente,Respiratoire
Apnée nocturne,Respiratoire
Apnée diurne,Respiratoire
Apnée soudaine,Respiratoire
Apnée progressive,Respiratoire
Respiration sifflante,Respiratoire
Respiration sifflante aiguë,Respiratoire
Respiration sifflante chronique,Respiratoire
Respiration sifflante sévère,Respiratoire
Respiration sifflante modérée,Respiratoire
Respiration sifflante légère,Respiratoire
Respiration sifflante persistante,Respiratoire
Respiration sifflante intermittente,Respiratoire
Respiration sifflante récurrente,Respiratoire
Respiration sifflante nocturne,Respiratoire
Respiration sifflante diurne,Respiratoire
Respiration sifflante soudaine,Respiratoire
Respiration sifflante progressive,Respiratoire
Oppression thoracique,Respiratoire
Oppression thoracique aiguë,Respiratoire
Oppression thoracique chronique,Respiratoire
Oppression thoracique sévère,Respiratoire
Oppression thoracique modérée,Respiratoire
Oppression thoracique légère,Respiratoire
Oppression thoracique persistante,Respiratoire
Oppression thoracique intermittente,Respiratoire
Oppression thoracique récurrente,Respiratoire
Oppression thoracique nocturne,Respiratoire
Oppression thoracique diurne,Respiratoire
Oppression thoracique soudaine,Respiratoire
Oppression thoracique progressive,Respiratoire
Expectoration,Respiratoire
Expectoration aiguë,Respiratoire
Expectoration chronique,Respiratoire
Expectoration sévère,Respiratoire
Expectoration modérée,Respiratoire
Expectoration légère,Respiratoire
Expectoration persistante,Respiratoire
Expectoration intermittente,Respiratoire
Expectoration récurrente,Respiratoire
Expectoration nocturne,Respiratoire
Expectoration diurne,Respiratoire
Expectoration soudaine,Respiratoire
Expectoration progressive,Respiratoire
Essoufflement,Respiratoire
Essoufflement aiguë,Respiratoire
Essoufflement chronique,Respiratoire
Essoufflement sévère,Respiratoire
Essoufflement modérée,Respiratoire
Essoufflement légère,Respiratoire
Essoufflement persistante,Respiratoire
Essoufflement intermittente,Respiratoire
Essoufflement récurrente,Respiratoire
Essoufflement nocturne,Respiratoire
Essoufflement diurne,Respiratoire
Essoufflement soudaine,Respiratoire
Essoufflement progressive,Respiratoire
Cyanose,Respiratoire
Cyanose aiguë,Respiratoire
Cyanose chronique,Respiratoire
Cyanose sévère,Respiratoire
Cyanose modérée,Respiratoire
Cyanose légère,Respiratoire
Cyanose persistante,Respiratoire
Cyanose intermittente,Respiratoire
Cyanose récurrente,Respiratoire
Cyanose nocturne,Respiratoire
Cyanose diurne,Respiratoire
Cyanose soudaine,Respiratoire
Cyanose progressive,Respiratoire
Nausée,Digestif
Nausée aiguë,Digestif
Nausée chronique,Digestif
Nausée sévère,Digestif
Nausée modérée,Digestif
Nausée légère,Digestif
Nausée persistante,Digestif
Nausée intermittente,Digestif
Nausée récurrente,Digestif
Nausée nocturne,Digestif
Nausée diurne,Digestif
Nausée soudaine,Digestif
Nausée progressive,Digestif
Vomissement,Digestif
Vomissement aiguë,Digestif
Vomissement chronique,Digestif
Vomissement sévère,Digestif
Vomissement modérée,Digestif
Vomissement légère,Digestif
Vomissement persistante,Digestif
Vomissement intermittente,Digestif
Vomissement récurrente,Digestif
Vomissement nocturne,Digestif
Vomissement diurne,Digestif
Vomissement soudaine,Digestif
Vomissement progressive,Digestif
Diarrhée,Digestif
Diarrhée aiguë,Digestif
Diarrhée chronique,Digestif
Diarrhée sévère,Digestif
Diarrhée modérée,Digestif
Diarrhée légère,Digestif
Diarrhée persistante,Digestif
Diarrhée intermittente,Digestif
Diarrhée récurrente,Digestif
Diarrhée nocturne,Digestif
Diarrhée diurne,Digestif
Diarrhée soudaine,Digestif
Diarrhée progressive,Digestif
Constipation,Digestif
Constipation aiguë,Digestif
Constipation chronique,Digestif
Constipation sévère,Digestif
Constipation modérée,Digestif
Constipation légère,Digestif
Constipation persistante,Digestif
Constipation intermittente,Digestif
Constipation récurrente,Digestif
Constipation nocturne,Digestif
Constipation diurne,Digestif
Constipation soudaine,Digestif
Constipation progressive,Digestif
Douleur abdominale,Digestif
Douleur abdominale aiguë,Digestif
Douleur abdominale chronique,Digestif
Douleur abdominale sévère,Digestif
Douleur abdominale modérée,Digestif
Douleur abdominale légère,Digestif
Douleur abdominale persistante,Digestif
Douleur abdominale intermittente,Digestif
Douleur abdominale récurrente,Digestif
Douleur abdominale nocturne,Digestif
Douleur abdominale diurne,Digestif
Douleur abdominale soudaine,Digestif
Douleur abdominale progressive,Digestif
Ballonnement,Digestif
Ballonnement aiguë,Digestif
Ballonnement chronique,Digestif
Ballonnement sévère,Digestif
Ballonnement modérée,Digestif
Ballonnement légère,Digestif
Ballonnement persistante,Digestif
Ballonnement intermittente,Digestif
Ballonnement récurrente,Digestif
Ballonnement nocturne,Digestif
Ballonnement diurne,Digestif
Ballonnement soudaine,Digestif
Ballonnement progressive,Digestif
Reflux gastrique,Digestif
Reflux gastrique aiguë,Digestif
Reflux gastrique chronique,Digestif
Reflux gastrique sévère,Digestif
Reflux gastrique modérée,Digestif
Reflux gastrique légère,Digestif
Reflux gastrique persistante,Digestif
Reflux gastrique intermittente,Digestif
Reflux gastrique récurrente,Digestif
Reflux gastrique nocturne,Digestif
Reflux gastrique diurne,Digestif
Reflux gastrique soudaine,Digestif
Reflux gastrique progressive,Digestif
Brûlure épigastrique,Digestif
Brûlure épigastrique aiguë,Digestif
Brûlure épigastrique chronique,Digestif
Brûlure épigastrique sévère,Digestif
Brûlure épigastrique modérée,Digestif
Brûlure épigastrique légère,Digestif
Brûlure épigastrique persistante,Digestif
Brûlure épigastrique intermittente,Digestif
Brûlure épigastrique récurrente,Digestif
Brûlure épigastrique nocturne,Digestif
Brûlure épigastrique diurne,Digestif
Brûlure épigastrique soudaine,Digestif
Brûlure épigastrique progressive,Digestif
Perte d’appétit,Digestif
Perte d’appétit aiguë,Digestif
Perte d’appétit chronique,Digestif
Perte d’appétit sévère,Digestif
Perte d’appétit modérée,Digestif
Perte d’appétit légère,Digestif
Perte d’appétit persistante,Digestif
Perte d’appétit intermittente,Digestif
Perte d’appétit récurrente,Digestif
Perte d’appétit nocturne,Digestif
Perte d’appétit diurne,Digestif
Perte d’appétit soudaine,Digestif
Perte d’appétit progressive,Digestif
Dysphagie,Digestif
Dysphagie aiguë,Digestif
Dysphagie chronique,Digestif
Dysphagie sévère,Digestif
Dysphagie modérée,Digestif
Dysphagie légère,Digestif
Dysphagie persistante,Digestif
Dysphagie intermittente,Digestif
Dysphagie récurrente,Digestif
Dysphagie nocturne,Digestif
Dysphagie diurne,Digestif
Dysphagie soudaine,Digestif
Dysphagie progressive,Digestif
Fièvre,Général
Fièvre aiguë,Général
Fièvre chronique,Général
Fièvre sévère,Général
Fièvre modérée,Général
Fièvre légère,Général
Fièvre persistante,Général
Fièvre intermittente,Général
Fièvre récurrente,Général
Fièvre nocturne,Général
Fièvre diurne,Général
Fièvre soudaine,Général
Fièvre progressive,Général
Fatigue,Général
Fatigue aiguë,Général
Fatigue chronique,Général
Fatigue sévère,Général
Fatigue modérée,Général
Fatigue légère,Général
Fatigue persistante,Général
Fatigue intermittente,Général
Fatigue récurrente,Général
Fatigue nocturne,Général
Fatigue diurne,Général
Fatigue soudaine,Général
Fatigue progressive,Général
Asthénie,Général
Asthénie aiguë,Général
Asthénie chronique,Général
Asthénie sévère,Général
Asthénie modérée,Général
Asthénie légère,Général
Asthénie persistante,Général
Asthénie intermittente,Général
Asthénie récurrente,Général
Asthénie nocturne,Général
Asthénie diurne,Général
Asthénie soudaine,Général
Asthénie progressive,Général
Frissons,Général
Frissons aiguë,Général
Frissons chronique,Général
Frissons sévère,Général
Frissons modérée,Général
Frissons légère,Général
Frissons persistante,Général
Frissons intermittente,Général
Frissons récurrente,Général
Frissons nocturne,Général
Frissons diurne,Général
Frissons soudaine,Général
Frissons progressive,Général
Sueurs nocturnes,Général
Sueurs nocturnes aiguë,Général
Sueurs nocturnes chronique,Général
Sueurs nocturnes sévère,Général
Sueurs nocturnes modérée,Général
Sueurs nocturnes légère,Général
Sueurs nocturnes persistante,Général
Sueurs nocturnes intermittente,Général
Sueurs nocturnes récurrente,Général
Sueurs nocturnes nocturne,Général
Sueurs nocturnes diurne,Général
Sueurs nocturnes soudaine,Général
Sueurs nocturnes progressive,Général
Perte de poids,Général
Perte de poids aiguë,Général
Perte de poids chronique,Général
Perte de poids sévère,Général
Perte de poids modérée,Général
Perte de poids légère,Général
Perte de poids persistante,Général
Perte de poids intermittente,Général
Perte de poids récurrente,Général
Perte de poids nocturne,Général
Perte de poids diurne,Général
Perte de poids soudaine,Général
Perte de poids progressive,Général
Prise de poids,Général
Prise de poids aiguë,Général
Prise de poids chronique,Général
Prise de poids sévère,Général
Prise de poids modérée,Général
Prise de poids légère,Général
Prise de poids persistante,Général
Prise de poids intermittente,Général
Prise de poids récurrente,Général
Prise de poids nocturne,Général
Prise de poids diurne,Général
Prise de poids soudaine,Général
Prise de poids progressive,Général
Malaise général,Général
Malaise général aiguë,Général
Malaise général chronique,Général
Malaise général sévère,Général
Malaise général modérée,Général
Malaise général légère,Général
Malaise général persistante,Général
Malaise général intermittente,Général
Malaise général récurrente,Général
Malaise général nocturne,Général
Malaise général diurne,Général
Malaise général soudaine,Général
Malaise général progressive,Général
Déshydratation,Général
Déshydratation aiguë,Général
Déshydratation chronique,Général
Déshydratation sévère,Général
Déshydratation modérée,Général
Déshydratation légère,Général
Déshydratation persistante,Général
Déshydratation intermittente,Général
Déshydratation récurrente,Général
Déshydratation nocturne,Général
Déshydratation diurne,Général
Déshydratation soudaine,Général
Déshydratation progressive,Général
Douleur articulaire,Musculo-squelettique
Douleur articulaire aiguë,Musculo-squelettique
Douleur articulaire chronique,Musculo-squelettique
Douleur articulaire sévère,Musculo-squelettique
Douleur articulaire modérée,Musculo-squelettique
Douleur articulaire légère,Musculo-squelettique
Douleur articulaire persistante,Musculo-squelettique
Douleur articulaire intermittente,Musculo-squelettique
Douleur articulaire récurrente,Musculo-squelettique
Douleur articulaire nocturne,Musculo-squelettique
Douleur articulaire diurne,Musculo-squelettique
Douleur articulaire soudaine,Musculo-squelettique
Douleur articulaire progressive,Musculo-squelettique
Douleur musculaire,Musculo-squelettique
Douleur musculaire aiguë,Musculo-squelettique
Douleur musculaire chronique,Musculo-squelettique
Douleur musculaire sévère,Musculo-squelettique
Douleur musculaire modérée,Musculo-squelettique
Douleur musculaire légère,Musculo-squelettique
Douleur musculaire persistante,Musculo-squelettique
Douleur musculaire intermittente,Musculo-squelettique
Douleur musculaire récurrente,Musculo-squelettique
Douleur musculaire nocturne,Musculo-squelettique
Douleur musculaire diurne,Musculo-squelettique
Douleur musculaire soudaine,Musculo-squelettique
Douleur musculaire progressive,Musculo-squelettique
Raideur,Musculo-squelettique
Raideur aiguë,Musculo-squelettique
Raideur chronique,Musculo-squelettique
Raideur sévère,Musculo-squelettique
Raideur modérée,Musculo-squelettique
Raideur légère,Musculo-squelettique
Raideur persistante,Musculo-squelettique
Raideur intermittente,Musculo-squelettique
Raideur récurrente,Musculo-squelettique
Raideur nocturne,Musculo-squelettique
Raideur diurne,Musculo-squelettique
Raideur soudaine,Musculo-squelettique
Raideur progressive,Musculo-squelettique
Crampes,Musculo-squelettique
Crampes aiguë,Musculo-squelettique
Crampes chronique,Musculo-squelettique
Crampes sévère,Musculo-squelettique
Crampes modérée,Musculo-squelettique
Crampes légère,Musculo-squelettique
Crampes persistante,Musculo-squelettique
Crampes intermittente,Musculo-squelettique
Crampes récurrente,Musculo-squelettique
Crampes nocturne,Musculo-squelettique
Crampes diurne,Musculo-squelettique
Crampes soudaine,Musculo-squelettique
Crampes progressive,Musculo-squelettique
Spasmes,Musculo-squelettique
Spasmes aiguë,Musculo-squelettique
Spasmes chronique,Musculo-squelettique
Spasmes sévère,Musculo-squelettique
Spasmes modérée,Musculo-squelettique
Spasmes légère,Musculo-squelettique
Spasmes persistante,Musculo-squelettique
Spasmes intermittente,Musculo-squelettique
Spasmes récurrente,Musculo-squelettique
Spasmes nocturne,Musculo-squelettique
Spasmes diurne,Musculo-squelettique
Spasmes soudaine,Musculo-squelettique
Spasmes progressive,Musculo-squelettique
Faiblesse musculaire,Musculo-squelettique
Faiblesse musculaire aiguë,Musculo-squelettique
Faiblesse musculaire chronique,Musculo-squelettique
Faiblesse musculaire sévère,Musculo-squelettique
Faiblesse musculaire modérée,Musculo-squelettique
Faiblesse musculaire légère,Musculo-squelettique
Faiblesse musculaire persistante,Musculo-squelettique
Faiblesse musculaire intermittente,Musculo-squelettique
Faiblesse musculaire récurrente,Musculo-squelettique
Faiblesse musculaire nocturne,Musculo-squelettique
Faiblesse musculaire diurne,Musculo-squelettique
Faiblesse musculaire soudaine,Musculo-squelettique
Faiblesse musculaire progressive,Musculo-squelettique
Gonflement articulaire,Musculo-squelettique
Gonflement articulaire aiguë,Musculo-squelettique
Gonflement articulaire chronique,Musculo-squelettique
Gonflement articulaire sévère,Musculo-squelettique
Gonflement articulaire modérée,Musculo-squelettique
Gonflement articulaire légère,Musculo-squelettique
Gonflement articulaire persistante,Musculo-squelettique
Gonflement articulaire intermittente,Musculo-squelettique
Gonflement articulaire récurrente,Musculo-squelettique
Gonflement articulaire nocturne,Musculo-squelettique
Gonflement articulaire diurne,Musculo-squelettique
Gonflement articulaire soudaine,Musculo-squelettique
Gonflement articulaire progressive,Musculo-squelettique
Lombalgie,Musculo-squelettique
Lombalgie aiguë,Musculo-squelettique
Lombalgie chronique,Musculo-squelettique
Lombalgie sévère,Musculo-squelettique
Lombalgie modérée,Musculo-squelettique
Lombalgie légère,Musculo-squelettique
Lombalgie persistante,Musculo-squelettique
Lombalgie intermittente,Musculo-squelettique
Lombalgie récurrente,Musculo-squelettique
Lombalgie nocturne,Musculo-squelettique
Lombalgie diurne,Musculo-squelettique
Lombalgie soudaine,Musculo-squelettique
Lombalgie progressive,Musculo-squelettique
Anxiété,Psychologique
Anxiété aiguë,Psychologique
Anxiété chronique,Psychologique
Anxiété sévère,Psychologique
Anxiété modérée,Psychologique
Anxiété légère,Psychologique
Anxiété persistante,Psychologique
Anxiété intermittente,Psychologique
Anxiété récurrente,Psychologique
Anxiété nocturne,Psychologique
Anxiété diurne,Psychologique
Anxiété soudaine,Psychologique
Anxiété progressive,Psychologique
Dépression,Psychologique
Dépression aiguë,Psychologique
Dépression chronique,Psychologique
Dépression sévère,Psychologique
Dépression modérée,Psychologique
Dépression légère,Psychologique
Dépression persistante,Psychologique
Dépression intermittente,Psychologique
Dépression récurrente,Psychologique
Dépression nocturne,Psychologique
Dépression diurne,Psychologique
Dépression soudaine,Psychologique
Dépression progressive,Psychologique
Stress,Psychologique
Stress aiguë,Psychologique
Stress chronique,Psychologique
Stress sévère,Psychologique
Stress modérée,Psychologique
Stress légère,Psychologique
Stress persistante,Psychologique
Stress intermittente,Psychologique
Stress récurrente,Psychologique
Stress nocturne,Psychologique
Stress diurne,Psychologique
Stress soudaine,Psychologique
Stress progressive,Psychologique
Insomnie,Psychologique
Insomnie aiguë,Psychologique
Insomnie chronique,Psychologique
Insomnie sévère,Psychologique
Insomnie modérée,Psychologique
Insomnie légère,Psychologique
Insomnie persistante,Psychologique
Insomnie intermittente,Psychologique
Insomnie récurrente,Psychologique
Insomnie nocturne,Psychologique
Insomnie diurne,Psychologique
Insomnie soudaine,Psychologique
Insomnie progressive,Psychologique
Irritabilité,Psychologique
Irritabilité aiguë,Psychologique
Irritabilité chronique,Psychologique
Irritabilité sévère,Psychologique
Irritabilité modérée,Psychologique
Irritabilité légère,Psychologique
Irritabilité persistante,Psychologique
Irritabilité intermittente,Psychologique
Irritabilité récurrente,Psychologique
Irritabilité nocturne,Psychologique
Irritabilité diurne,Psychologique
Irritabilité soudaine,Psychologique
Irritabilité progressive,Psychologique
Crise de panique,Psychologique
Crise de panique aiguë,Psychologique
Crise de panique chronique,Psychologique
Crise de panique sévère,Psychologique
Crise de panique modérée,Psychologique
Crise de panique légère,Psychologique
Crise de panique persistante,Psychologique
Crise de panique intermittente,Psychologique
Crise de panique récurrente,Psychologique
Crise de panique nocturne,Psychologique
Crise de panique diurne,Psychologique
Crise de panique soudaine,Psychologique
Crise de panique progressive,Psychologique
Trouble de concentration,Psychologique
Trouble de concentration aiguë,Psychologique
Trouble de concentration chronique,Psychologique
Trouble de concentration sévère,Psychologique
Trouble de concentration modérée,Psychologique
Trouble de concentration légère,Psychologique
Trouble de concentration persistante,Psychologique
Trouble de concentration intermittente,Psychologique
Trouble de concentration récurrente,Psychologique
Trouble de concentration nocturne,Psychologique
Trouble de concentration diurne,Psychologique
Trouble de concentration soudaine,Psychologique
Trouble de concentration progressive,Psychologique
Fatigue mentale,Psychologique
Fatigue mentale aiguë,Psychologique
Fatigue mentale chronique,Psychologique
Fatigue mentale sévère,Psychologique
Fatigue mentale modérée,Psychologique
Fatigue mentale légère,Psychologique
Fatigue mentale persistante,Psychologique
Fatigue mentale intermittente,Psychologique
Fatigue mentale récurrente,Psychologique
Fatigue mentale nocturne,Psychologique
Fatigue mentale diurne,Psychologique
Fatigue mentale soudaine,Psychologique
Fatigue mentale progressive,Psychologique
Anhédonie,Psychologique
Anhédonie aiguë,Psychologique
Anhédonie chronique,Psychologique
